Has_QSpecs,Weight,InspectionDate
TRUE,2000,2/5/2012
FALSE,0.22,7/19/2012
FALSE,0.1,2/25/2012
FALSE,0.3,6/8/2012
FALSE,0,9/22/2012
FALSE,0.25,6/1/2012
TRUE,0.1,4/18/2012
FALSE,0.06,4/10/2012
FALSE,0.01,7/1/2012
FALSE,0.5,1/7/2012
TRUE,1.56,12/24/2012
FALSE,0.01,10/19/2012
FALSE,3,3/4/2012
FALSE,1,11/2/2012
TRUE,12,11/10/2012
FALSE,2.5,8/16/2012
FALSE,0.1,12/22/2012
FALSE,0.01,11/7/2012
FALSE,0.1,2/26/2012
FALSE,0.1,12/17/2012
FALSE,1.04,9/1/2012
FALSE,0.01,10/9/2012
TRUE,1.5,2/17/2012
FALSE,0.02,6/27/2012
FALSE,5,9/12/2012
FALSE,0.2,6/5/2012
FALSE,0.3,2/22/2012
FALSE,0.12,1/24/2012
FALSE,57,4/14/2012
TRUE,0.5,7/27/2012
FALSE,0.1,8/22/2012
FALSE,9,11/26/2012
FALSE,0.12,4/15/2012
FALSE,0.2,8/18/2012
FALSE,120,7/17/2012
FALSE,10,7/10/2012
FALSE,57,3/3/2012
FALSE,0.1,1/22/2012
TRUE,0.3,1/16/2012
FALSE,0.1,5/5/2012
FALSE,15,10/13/2012
FALSE,0.03,6/16/2012
FALSE,13,11/19/2012
FALSE,0.4,2/24/2012
TRUE,0.2,3/17/2012
FALSE,0.1,6/27/2012
FALSE,0.03,6/10/2012
FALSE,0.18,6/3/2012
FALSE,0.1,4/17/2012
FALSE,0.1,8/19/2012
FALSE,15,1/7/2012
FALSE,0.04,5/18/2012
FALSE,0.5,9/6/2012
FALSE,0.1,4/22/2012
FALSE,45,8/8/2012
FALSE,0.01,5/24/2012
FALSE,10,2/10/2012
FALSE,0.01,6/28/2012
FALSE,4,6/9/2012
TRUE,0.06,3/19/2012
FALSE,0.9,4/20/2012
FALSE,2.19,3/12/2012
FALSE,0.22,2/10/2012
FALSE,0.09,9/2/2012
FALSE,0.01,4/28/2012
FALSE,0.1,7/2/2012
FALSE,0.05,9/10/2012
FALSE,0.1,3/10/2012
FALSE,12,6/5/2012
